id,irsz,varos,utca,hsz
,3779,Tiszaújváros,Mészáros Lázár,98
,3065,Felsővadász,Hajdú,4
,3282,Viss,Madách,47
,3249,Lácacséke,Kárpát,26
,3055,Vilyvitány,Ősz,58
,3146,Tarcal,Turul,65
,3862,Nyíri,Pécsi Sándor ,79
,3701,Ináncs,Grassalkovich,32
,3674,Kány,József Attila,25
,3282,Semjén,Hősmagyar,4
,3080,Égerszög,Mohács,64
,3360,Igrici,Báthory István,92
,3782,Sajólászlófalva,Papmalom,16
,3421,Füzérkomlós,Eötvös,59
,3528,Lácacséke,Tabán,85
,3107,Abaújszolnok,Lukács Pelbárt,27
,3070,Köröm,Dolgozók,72
,3843,Homrogd,Kölcsey Ferenc,109
,3341,Jósvafő,Berzsenyi Dániel,46
,3647,Csincse,Ifjúság,59
,3193,Mezőkeresztes,Tó,46
,3395,Sajólászlófalva,Apród,79
,3015,Kelemér,Kiss Ernő,46
,3517,Mezőzombor,Vereckei,43
,3647,Gagyvendégi,Honvéd,64
,3432,Vatta,Kossuth Lajos,87
,3726,Tiszatarján,Bálvány,92
,3250,Köröm,Ring Kálmán,51
,3547,Tomor,Sport,113
,3405,Borsodgeszt,Hősmagyar,67
,3423,Selyeb,Ring Kálmán,79
,3571,Girincs,Szabadság,92
,3017,Egerlövő,Arany János,42
,3392,Vadna,Karinthy Frigyes,28
,3500,Felsőzsolca,Csatafi,109
,3585,Csokvaomány,Major,51
,3238,Makkoshotyka,Doktay Gyula,117
,3861,Kánó,Harmónia,12
,3571,Edelény,Nyírfa,90
,3884,Felsőkelecsény,Borház,113
,3852,Bodrogkisfalud,Fecske,68
,3237,Gönc,Ifjúság,31
,3563,Boldogkőváralja,Doktay Gyula,88
,3451,Kesznyéten,Grassalkovich,39
,3159,Hernádvécse,Hatvanas,113
,3158,Kéked,Wesselényi,112
,3720,Viss,Bethlen Gábor,50
,3075,Hejőkürt,Pázsit,47
,3318,Szászfa,Temető,107
,3872,Gelej,Új,13
,3483,Gelej,Tízhold,57
,3047,Pere,Kastélykert,7
,3877,Szalaszend,József Attila,10
,3569,Varbó,Jókai Mór,93
,3346,Sárospatak,Mártírok,26
,3110,Abaújkér,Hegyalja,85
,3775,Onga,Liszt Ferenc,25
,3489,Farkaslyuk,Ifjúság,71
,3326,Alsógagy,Teleki,29
,3348,Szentistvánbaksa,Vas,37
,3144,Sátoraljaújhely,Lehel,39
,3339,Tornaszentjakab,Peresi,95
,3879,Gelej,Görög,106
,3993,Boldva,Szőlőhegy,26
,3584,Szentistván,Hunyadi Mátyás,111
,3235,Sajókaza,Mátyás király,39
,3069,Abaújlak,Teleki,118
,3116,Nagyrozvágy,Akácfa,55
,3646,Szirmabesenyő,Tavasz,17
,3668,Bózsva,Vörösmarty Mihály,101
,3594,Gelej,Erdei-Köves,97
,3933,Tiszabábolna,Mikszáth,8
,3997,Abaújlak,Mártírok,86
,3181,Zemplénagárd,Ratkó József,119
,3520,Tiszakarád,Vásártér,58
,3682,Arló,Delelő,83
,3557,Kánó,Kőműves,58
,3289,Szemere,Vécsey Károly,74
,3084,Zemplénagárd,Grassalkovich,116
,3215,Pusztafalu,Deák Ferenc,19
,3437,Szemere,Damjanich,104
,3378,Hernádpetri,Belső Ifjúság,113
,3657,Ládbesenyő,Népkert,11
,3400,Kazincbarcika,Móra Ferenc,47
,3648,Pálháza,Görgey Artúr,77
,3103,Trizs,Balassi Bálint,20
,3419,Hangács,Báthory István,29
,3173,Baktakék,Görög,16
,3771,Abaújalpár,Május,69
,3117,Bánréve,Kosztolányi Dezső,91
,3535,Hernádszentandrás,Strázsahegyi,93
,3474,Bogács,Kövestéri,112
,3261,Égerszög,Fűzfa,50
,3948,Dövény,Kórház,1
,3466,Gagyapáti,Gódor Kálmán,22
,3239,Viss,Gáspár András,40
,3082,Szirmabesenyő,Toldi,111
,3295,Szendrő,Cserje,10
,3592,Keresztéte,Nagytelek major,113
,3650,Kistokaj,Kistelek,22
,3814,Felsővadász,Váci Mihály,61
,3330,Domaháza,Turul,62
,3154,Hangács,Móricz Zsigmond,96
,3374,Kistokaj,Mészáros Lázár,73
,3004,Szentistván,Horváth Mihály,102
,3275,Felsőberecki,Zöld,115
,3774,Királd,Mártírok,107
,3421,Olaszliszka,Kastélykert,77
,3774,Tiszacsermely,Fűzfa,102
,3389,Mályinka,Deák Ferenc,10
,3278,Hidvégardó,Lőrinci,94
,3211,Ormosbánya,Huszár,17
,3131,Aszaló,Tizeshonvéd,22
,3836,Damak,Horváth Mihály,76
,3636,Szikszó,Kinizsi Pál,119
,3492,Emőd,Esze Tamás,112
,3407,Felsőkelecsény,Szepes Béla,32
,3206,Rásonysápberencs,Jávorka,6
,3072,Galvács,Erzsébet,16
,3207,Révleányvár,Bokor,39
,3541,Dubicsány,Gesztenye,77
,3621,Sajóvelezd,Forgács Simon,50
,3070,Irota,Czóbel Béla,53
,3255,Muhi,Balassi Bálint,113
,3858,Muhi,Viola,74
,3845,Abaújlak,Jávorka,51
,3398,Komlóska,Berzsenyi Dániel,25
,3774,Olaszliszka,Tizeshonvéd,33
,3440,Litka,Delelő,45
,3007,Sajónémeti,Híd,85
,3325,Alsógagy,Béla,39
,3987,Kány,Bornemissza,115
,3422,Csernely,Árnyas,28
,3160,Halmaj,Lehel,42
,3127,Erdőbénye,Balassi Bálint,25
,3832,Kánó,Barcsay Jenő,109
,3948,Taktaszada,Diófa,83
,3009,Szuhafő,Táltos,5
,3121,Karos,Akácfa,12
,3098,Erdőbénye,Bem József,28
,3054,Garadna,Damjanich,99
,3723,Mád,Hatvanas,19
,3124,Zemplénagárd,Szőlőhegy,100
,3108,Gadna,Damjanich,7
,3564,Köröm,Pázsit,63
,3050,Miskolc,Bethlen Gábor,24
,3068,Tarcal,Kastélykert,38
,3150,Szuhafő,Mikszáth,41
,3038,Debréte,Szepes Béla,68
,3699,Tiszacsermely,Tarjáni,95
,3558,Mezőcsát,Fecske,75
,3602,Vilmány,Csók István,52
,3948,Hangony,Népkert,62
,3111,Muhi,Gódor Kálmán,22
,3834,Bodroghalom,Vörösmarty Mihály,12
,3918,Gömörszőlős,Híd,78
,3985,Novajidrány,Keskeny,76
,3624,Mogyoróska,Határ,50
,3241,Sajókápolna,István király,65
,3883,Ormosbánya,Pécsi Sándor ,118
,3602,Miskolc,Mártírok,39
,3725,Perkupa,Kórház,22
,3706,Tiszavalk,Balassi Bálint,99
,3493,Vilmány,Móricz Zsigmond,84
,3789,Gönc,Tó,39
,3016,Semjén,Dobó István,46
,3514,Füzérkajata,Csajkovszkij,56
,3697,Mezőkeresztes,Attila,47
,3435,Serényfalva,Bethlen Gábor,118
,3529,Encs,Delelő,77
,3268,Csernely,Szepes Béla,96
,3124,Emőd,Repce,93
,3810,Aszaló,Dézsmaszéki,61
,3699,Tiszakarád,Váci Mihály,54
,3878,Egerlövő,Papp István,7
,3543,Köröm,Nyírfa,6
,3223,Muhi,Dolgozók,17
,3687,Trizs,Petőfi Sándor,113
,3417,Tiszaladány,Béke,116
,3534,Szin,Madách,117
,3503,Vágáshuta,Radnóti Miklós,80
,3973,Kesznyéten,Erdei-Köves,51
,3461,Felsőkelecsény,Szőlőhegy,32
,3466,Kelemér,Bokor,17
,3174,Abaújalpár,Utász,77
,3449,Teresztenye,Nagytelek major,53
,3764,Tiszaújváros,Doktay Gyula,1
,3037,Ináncs,Karinthy Frigyes,73
,3051,Arka,Hatvany Lajos,98
,3933,Sajókeresztúr,Hunyadi Mátyás,14
,3572,Pácin,Hajdú,100
,3051,Bódvaszilas,Major,100
,3493,Trizs,Bornemissza,7
,3962,Onga,Balassi Bálint,80
,3222,Kiskinizs,Erdei-Köves,57
,3054,Kesznyéten,Hősmagyar,25
,3742,Kánó,Béke,106
,3356,Szomolya,Várkonyi Sándor,82
,3044,Serényfalva,Béke,35
,3273,Mályinka,Ferencesek,84
,3261,Bódvarákó,Pázsit,35
,3097,Borsodszentgyörgy,Diófa,58
,3440,Tibolddaróc,Fürdő,109
,3235,Szakácsi,Határ,58
,3157,Mályi,Szalkai,66
,3160,Bükkaranyos,Fuvaros,48
,3517,Sajólászlófalva,Pintér István,58
,3975,Felsőzsolca,Kossuth Lajos,74
,3958,Damak,Hárstelepi,82
,3017,Izsófalva,Bajza József,73
,3421,Mezőkeresztes,Vasvári Pál,9
,3024,Kistokaj,Kóczos,29
,3932,Komlóska,Balassi Bálint,1
,3432,Sajóbábony,Madách,15
,3107,Kondó,Ratkó József,105
,3354,Tomor,Bornemissza,55
,3989,Fancsal,Keskeny,57
,3964,Füzérradvány,Nagy Lajos király,30
,3045,Sóstófalva,Kistelek,74
,3066,Felsővadász,Vasvári Pál,52
,3977,Rátka,Rózsa,112
,3204,Regéc,Kandó Kálmán,50
,3372,Gömörszőlős,Hősmagyar,16
,3227,Telkibánya,Kárpát,52
,3682,Homrogd,Mártírok,44
,3943,Tibolddaróc,Vitális Mór,63
,3356,Berzék,Határ,34
,3573,Felsőtelekes,Vas,48
,3203,Felsőberecki,Ifjúság,65
,3549,Mogyoróska,Barackos,49
,3526,Tiszabábolna,Határ,86
,3592,Mezőzombor,Barcsay Jenő,2
,3370,Vilyvitány,Híd,26
,3869,Csokvaomány,Lehel,99
,3998,Méra,Móra Ferenc,30
,3132,Pácin,Gárdonyi Géza,89
,3259,Hollóháza,Petőfi Sándor,9
,3952,Füzér,Dembinszky,41
,3036,Sajóörös,Bercsényi,18
,3739,Radostyán,Hét vezér,96
,3657,Varbóc,Papp István,62
,3514,Kiskinizs,Iskola,113
,3803,Alsószuha,Tóth Árpád,58
,3759,Kenézlő,Benczúr Gyula,92
,3238,Zádorfalva,Erdei kör,72
,3275,Vilmány,Krúdy Gyula,19
,3843,Mezőkövesd,Görgey Artúr,47
,3786,Aszaló,Gesztenye,59
,3581,Uppony,Bányász,43
,3593,Hernádkak,Tóth Árpád,69
,3790,Alsóvadász,Nagytelek major,35
,3503,Varbó,Csokonai,24
,3037,Tarcal,Cserje,75
,3703,Hejce,Vas,50
,3022,Ragály,Ferencesek,39
,3782,Felsőberecki,Árpád,51
,3450,Ózd,Kövestéri,108
,3938,Szentistvánbaksa,Krúdy Gyula,5
,3278,Edelény,Klapka György,81
,3938,Kishuta,Lehel,70
,3529,Telkibánya,Nádasdy Tamás,81
,3669,Gagybátor,Krúdy Gyula,77
,3498,Szomolya,Tüzér,77
,3134,Karcsa,Barcsay Jenő,100
,3215,Hejőbába,Irinyi János,54
,3554,Szegilong,Mészáros Lázár,74
,3379,Göncruszka,Új,70
,3789,Boldva,Dobó István,88
,3159,Vilyvitány,Pécsi Sándor ,52
,3700,Radostyán,Doktay Gyula,82
,3819,Hejőbába,Csók István,113
,3762,Sátoraljaújhely,Bálvány,82
,3655,Hernádbűd,Görbe,79
,3031,Tornaszentandrás,Turai,46
,3134,Bódvarákó,Zöldfa,57
,3188,Alsóberecki,Batthyány,66
,3126,Kisgyőr,Harmónia,59
,3338,Rásonysápberencs,Barcsay Jenő,110
,3714,Sajóecseg,Zrínyi Miklós,47
,3133,Felsőgagy,Tabán,92
,3825,Felsővadász,Híd,83
,3295,Szuhafő,Teleki,42
,3717,Boldva,Mátyás király,72
,3335,Regéc,Görbe,63
,3485,Hejőbába,Bornemissza,81
,3749,Sajópálfala,Villany,10
,3281,Ládbesenyő,Munka,113
,3392,Kelemér,Eötvös,44
,3573,Halmaj,Báthory István,9
,3941,Borsodbóta,Hegyalja,46
,3407,Szentistvánbaksa,Kertész,48
,3046,Hidasnémeti,Várkonyi Sándor,71
,3399,Tibolddaróc,Jókai Mór,27
,3822,Berente,Gárdonyi Géza,14
,3936,Nyésta,Keskeny,82
,3712,Köröm,Utász,51
,3742,Kéked,Gorkij,103
,3395,Jósvafő,Kövestéri,25
,3270,Tornabarakony,István király,105
,3409,Ziliz,Hatvanas,65
,3621,Kisgyőr,Játszótéri,16
,3779,Borsodszirák,Traktor,26
,3353,Tiszalúc,Hajós Alfréd,74
,3607,Bodrogkisfalud,Major,27
,3498,Szomolya,Jókai Mór,22
,3753,Beret,Hegytető,20
,3573,Járdánháza,Mátyás király,12
,3731,Sajószentpéter,Barackos,96
,3295,Arnót,Ősz,59
,3558,Királd,Vereckei,39
,3382,Nagycsécs,Irinyi János,59
,3837,Sáta,Fenyőfa,65
,3950,Tornanádaska,Hajós Alfréd,25
,3870,Serényfalva,Kard,56
,3838,Alsódobsza,Villany,54
,3958,Szuhakálló,Madách,105
,3678,Vizsoly,Papmalom,72
,3888,Vilmány,Grassalkovich,80
,3374,Tiszatardos,Népkert,86
,3192,Kács,Erdei-Köves,111
,3998,Boldogkőváralja,Radnóti Miklós,28
,3712,Répáshuta,Hunyadi Mátyás,93
,3941,Nyékládháza,Újélet,27
,3942,Radostyán,Belső Ifjúság,73
,3018,Putnok,Kinizsi Pál,101
,3499,Sárospatak,Árpád,110
,3089,Sajógalgóc,Hárstelepi,3
,3558,Bodrogkeresztúr,Székely,13
,3819,Bózsva,Botond,31
,3147,Kánó,Thurzó,73
,3172,Hollóháza,Kopja,30
,3456,Tállya,Kőműves,101
,3793,Monaj,Hegytető,72
,3030,Mád,Hatvany Lajos,49
,3238,Nagykinizs,Bocskai István,24
,3771,Tornaszentandrás,Gárdonyi Géza,5
,3667,Sály,Erzsébet,35
,3835,Szögliget,Szapáry,112
,3562,Pusztafalu,Mészáros Lázár,108
,3457,Baskó,Klapka György,9
,3901,Borsodszirák,Batthyány,65
,3274,Múcsony,Háromház,84
,3822,Égerszög,Gesztenye,51
,3740,Regéc,Utász,36
,3285,Hejőpapi,Pázsit,54
,3295,Tarcal,Zrínyi,50
,3820,Füzérkajata,Hajnal,113
,3254,Tiszavalk,Rét,38
,3709,Tard,Belső Ifjúság,27
,3702,Muhi,Mozdony,43
,3760,Halmaj,Viola,46
,3579,Gagyvendégi,Repce,90
,3745,Hangács,Mikszáth,6
,3803,Gönc,Vitális Mór,61
,3136,Ricse,Honvéd,104
,3633,Négyes,Széchenyi,108
,3563,Hejőbába,Radnóti Miklós,65
,3136,Arka,Apród,68
,3314,Felsőnyárád,Tóth Árpád,112
,3724,Tiszacsermely,Delelő,98
,3390,Dédestapolcsány,Széchenyi,84
,3740,Bózsva,Liszt Ferenc,65
,3638,Kács,Nagytelek,13
,3873,Kázsmárk,Martinovics,53
,3112,Tibolddaróc,Csatafi,76
,3651,Megyaszó,Mohács,25
,3770,Abaújvár,Mikes,59
,3646,Erdőbénye,Peresi,43
,3359,Abaújlak,Béla,98
,3792,Tiszatarján,Iparos,116
,3017,Tiszapalkonya,Bercsényi,18
,3568,Vámosújfalu,Népkert,27
,3052,Borsodgeszt,Kard,39
,3642,Parasznya,Vécsey Károly,25
,3016,Bódvalenke,Várkonyi Sándor,112
,3450,Hejőszalonta,Bornemissza,11
,3615,Gagybátor,Turai,109
,3926,Sajópálfala,Ring Kálmán,58
,3383,Borsodnádasd,Botond,86
,3448,Nyíri,Forgács Simon,118
,3404,Girincs,Jávorka,63
,3560,Nyékládháza,Hatvany Irén,31
,3574,Alsótelekes,József Attila,53
,3842,Hernádszentandrás,Fecske,54
,3112,Tiszavalk,Mozdony,94
,3318,Tokaj,Kölcsey Ferenc,7
,3436,Hejőkürt,Nagytelek,43
,3714,Balajt,Delelő,78
,3619,Parasznya,Rákóczi  Ferenc,11
,3329,Szendrő,Belső Ifjúság,102
